Datum	Strom	Gas	Wasser	Wasserzählerwechsel	Stromzählerwechsel	Preise [€]		Strom				Gas				Wasser	
31.05.2020	39184	1846.15	329				Datum	Arbeitspreis	Grundpreis		Datum	Arbeitspreis	Grundpreis		Datum	Arbeitspreis	Grundpreis
10.06.2020	39256	1849.76	333				31.05.2020	0.26	26.83	Grünwelt Energie	31.05.2020	0.06	5		31.05.2020	4.23	5
18.06.2020	39300	1850.79	335				25.06.2021	0.32	11.83	EnBW	25.06.2021	0.07	5.5	EnBW	01.01.2021	4.28	4.9
24.06.2020	39344	1851.82	337				29.06.2021	0.3	19.9	Süwag	29.06.2021	0.07	15.88		01.01.2022	4.28	4.9
01.07.2020	39394	1851.82	341				28.06.2022	0.4	16.9	Vattenfall	28.06.2022	0.15	12.5	Vattenfall	31.12.2025	0	0
03.09.2020	39866	1857.02	360	Originalwert 382 wahrscheinlich falsch			31.12.2025	0	0		31.12.2025	0	0				
03.01.2021	40914	2187.45	393														
05.03.2021	41504	2490.03	411														
19.05.2021	42133	2699.95	431														
17.06.2021	42342	2715.64	441														
05.07.2021	42442	2715.64	444														
24.11.2021	43467	2909.99	486														
14.01.2022	43893	3124.82	498														
31.03.2022	44497	3401.65	520														
13.05.2022	44830	3478.00	530	10													
25.05.2022	44907	3478.02	533	13													
26.06.2022	45090	3480.68	539	19													
04.08.2022	45315	3481.41	555	35													
17.08.2022	45384	3481.41	559	39													
17.09.2022	45566	3486.09	566	46													
22.09.2022	45606	3487.95	567	47													
01.10.2022	45668	3493.98	569	49													
16.10.2022	45769	3508.01	572	52													
31.10.2022	45872	3517.41	575	55													
11.11.2022	45938	3539.89	578	58													
25.11.2022	46030	3577.62	580	60													
11.12.2022	46144	3635.34	586	66			https://datastudio.google.com/reporting/0f305454-8e51-4536-9151-28165f917eee/page/UOTzC										
18.12.2022	46195	3671.11	587	67													
27.12.2022	46263	3703.31	590	70													
31.12.2022	46291	3712.36	591	71			TODO: end dates must be the identical!										
08.01.2023	46353	3733.71	593	73													
28.01.2023	46511	3811.27	598	78													
18.02.2023	46661	3891.77	601	81													
12.03.2023	46823	3964.04	607	87													
31.03.2023	46952	4005.46	611	91													
01.05.2023	47158	4067.56	618	98	206												
14.05.2023	47251	4077.54	621	101	299												
22.06.2023	47347	4082.85	624	104	395												
13.07.2023	47462	4083.26	629	109	510												
09.09.2023	47825	4092.69	642	122	873												
12.10.2023	48067	4136.27	651	131	1115												
04.11.2023	48256	4193.89	657	137	1304												
16.12.2023	48624	4365.27	668	148	1672												
27.01.2024	48979	4564.02	679	159	2027												
03.05.2024	49713	4844.49	703	183	2761												
29.07.2024	50243	4887.44	722	202	3291												
01.09.2024	50357	4887.44	728	208	3405												
19.12.2024	51263	5155.86	758	238	4311												
02.01.2025	51375	5219.64	762	242	4423												
